STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2007,Cattle: 1-2 years,Border,000 Head,218.8
Number of Livestock in June,2007,Cattle: 1-2 years,Midland,000 Head,214.5
Number of Livestock in June,2007,Cattle: 1-2 years,West,000 Head,227.3
Number of Livestock in June,2007,Cattle: 1-2 years,Dublin plus Mid East,000 Head,150
Number of Livestock in June,2007,Cattle: 1-2 years,Mid-West,000 Head,236.9
Number of Livestock in June,2007,Cattle: 1-2 years,South-East,000 Head,328.4
Number of Livestock in June,2007,Cattle: 1-2 years,South-West,000 Head,309.7
Number of Livestock in June,2007,Cattle: under 1 year,Border,000 Head,266.8
Number of Livestock in June,2007,Cattle: under 1 year,Midland,000 Head,216.6
Number of Livestock in June,2007,Cattle: under 1 year,West,000 Head,288.3
Number of Livestock in June,2007,Cattle: under 1 year,Dublin plus Mid East,000 Head,141.8
Number of Livestock in June,2007,Cattle: under 1 year,Mid-West,000 Head,293.6
Number of Livestock in June,2007,Cattle: under 1 year,South-East,000 Head,351.5
Number of Livestock in June,2007,Cattle: under 1 year,South-West,000 Head,382.3
Number of Livestock in June,2008,Dairy cows,Border,000 Head,105
Number of Livestock in June,2008,Dairy cows,Midland,000 Head,76.2
Number of Livestock in June,2008,Dairy cows,West,000 Head,52.7
Number of Livestock in June,2008,Dairy cows,Dublin plus Mid East,000 Head,77.7
Number of Livestock in June,2008,Dairy cows,Mid-West,000 Head,176.4
Number of Livestock in June,2008,Dairy cows,South-East,000 Head,237.8
Number of Livestock in June,2008,Dairy cows,South-West,000 Head,369.4
Number of Livestock in June,2008,Other cows,Border,000 Head,217
Number of Livestock in June,2008,Other cows,Midland,000 Head,153
Number of Livestock in June,2008,Other cows,West,000 Head,270
Number of Livestock in June,2008,Other cows,Dublin plus Mid East,000 Head,94.7
Number of Livestock in June,2008,Other cows,Mid-West,000 Head,171.9
Number of Livestock in June,2008,Other cows,South-East,000 Head,166
Number of Livestock in June,2008,Other cows,South-West,000 Head,147.5
Number of Livestock in June,2008,Bulls,Border,000 Head,9.4
Number of Livestock in June,2008,Bulls,Midland,000 Head,5.9
Number of Livestock in June,2008,Bulls,West,000 Head,8.9
Number of Livestock in June,2008,Bulls,Dublin plus Mid East,000 Head,4.6
Number of Livestock in June,2008,Bulls,Mid-West,000 Head,8.8
Number of Livestock in June,2008,Bulls,South-East,000 Head,8.9
Number of Livestock in June,2008,Bulls,South-West,000 Head,11
Number of Livestock in June,2008,Cattle: 2 years and over,Border,000 Head,101.9
Number of Livestock in June,2008,Cattle: 2 years and over,Midland,000 Head,128.7
Number of Livestock in June,2008,Cattle: 2 years and over,West,000 Head,131.5
Number of Livestock in June,2008,Cattle: 2 years and over,Dublin plus Mid East,000 Head,106.1
Number of Livestock in June,2008,Cattle: 2 years and over,Mid-West,000 Head,125.9
Number of Livestock in June,2008,Cattle: 2 years and over,South-East,000 Head,148.3
Number of Livestock in June,2008,Cattle: 2 years and over,South-West,000 Head,123.7
