"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1992","000 Head","82.7"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1993","000 Head","81.9"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1994","000 Head","82.4"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1995","000 Head","80.8"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1996","000 Head","81.6"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1997","000 Head","80.6"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1998","000 Head","81.5"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","1999","000 Head","78.5"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","2000","000 Head","79.7"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","2001","000 Head","79.9"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","2002","000 Head","78.7"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","2003","000 Head","81.9"
"Number of Livestock in June (1991 - 2004)","Midland","Dairy cows","2004","000 Head","81.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1991","000 Head","83"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1992","000 Head","89.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1993","000 Head","101.9"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1994","000 Head","106.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1995","000 Head","109.8"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1996","000 Head","119.9"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1997","000 Head","128.6"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1998","000 Head","133.8"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","1999","000 Head","130.4"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","2000","000 Head","140.2"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","2001","000 Head","141"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","2002","000 Head","142"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","2003","000 Head","144.7"
"Number of Livestock in June (1991 - 2004)","Midland","Other cows","2004","000 Head","147.9"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1991","000 Head","1.9"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1992","000 Head","2.2"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1993","000 Head","2.7"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1994","000 Head","2.8"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1995","000 Head","3.1"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1996","000 Head","3.7"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1997","000 Head","4.1"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1998","000 Head","4.3"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","1999","000 Head","4.8"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","2000","000 Head","4.9"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","2001","000 Head","5"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","2002","000 Head","5.5"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","2003","000 Head","6"
"Number of Livestock in June (1991 - 2004)","Midland","Bulls","2004","000 Head","6.3"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1991","000 Head","162.8"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1992","000 Head","163.8"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1993","000 Head","158.1"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1994","000 Head","156.7"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1995","000 Head","154.6"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1996","000 Head","157"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1997","000 Head","148.5"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1998","000 Head","152.7"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","1999","000 Head","160.5"
"Number of Livestock in June (1991 - 2004)","Midland","Other cattle: 2 years and over","2000","000 Head","156"
