"STATISTIC Label","Year","Type of Animal","Region","UNIT","VALUE"
"Number of Livestock in June","2009","Total sheep","Mid-West","000 Head","119.8"
"Number of Livestock in June","2009","Total sheep","South-East","000 Head","742.1"
"Number of Livestock in June","2009","Total sheep","South-West","000 Head","647.3"
"Number of Livestock in June","2009","Total pigs","Border","000 Head","428.1"
"Number of Livestock in June","2009","Total pigs","Midland","000 Head","243.7"
"Number of Livestock in June","2009","Total pigs","West","000 Head","51"
"Number of Livestock in June","2009","Total pigs","Dublin plus Mid East","000 Head","75.6"
"Number of Livestock in June","2009","Total pigs","Mid-West","000 Head","92.1"
"Number of Livestock in June","2009","Total pigs","South-East","000 Head","265.6"
"Number of Livestock in June","2009","Total pigs","South-West","000 Head","229.2"
"Number of Livestock in June","2009","Total horses and ponies","Border","000 Head","10.7"
"Number of Livestock in June","2009","Total horses and ponies","Midland","000 Head","7.6"
"Number of Livestock in June","2009","Total horses and ponies","West","000 Head","18.5"
"Number of Livestock in June","2009","Total horses and ponies","Dublin plus Mid East","000 Head","14.2"
"Number of Livestock in June","2009","Total horses and ponies","Mid-West","000 Head","16.1"
"Number of Livestock in June","2009","Total horses and ponies","South-East","000 Head","18.8"
"Number of Livestock in June","2009","Total horses and ponies","South-West","000 Head","12.2"
"Number of Livestock in June","2009","Total mules, jennets and asses","Border","000 Head","2.4"
"Number of Livestock in June","2009","Total mules, jennets and asses","Midland","000 Head","0.7"
"Number of Livestock in June","2009","Total mules, jennets and asses","West","000 Head","2.4"
"Number of Livestock in June","2009","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.3"
"Number of Livestock in June","2009","Total mules, jennets and asses","Mid-West","000 Head","0.9"
"Number of Livestock in June","2009","Total mules, jennets and asses","South-East","000 Head","0.5"
"Number of Livestock in June","2009","Total mules, jennets and asses","South-West","000 Head","1.6"
"Number of Livestock in June","2009","Total goats","Border","000 Head","1.5"
"Number of Livestock in June","2009","Total goats","Midland","000 Head","0.4"
"Number of Livestock in June","2009","Total goats","West","000 Head","1.7"
"Number of Livestock in June","2009","Total goats","Dublin plus Mid East","000 Head","1"
"Number of Livestock in June","2009","Total goats","Mid-West","000 Head","1"
"Number of Livestock in June","2009","Total goats","South-East","000 Head","1.1"
"Number of Livestock in June","2009","Total goats","South-West","000 Head","3.3"
"Number of Livestock in June","2010","Total cattle","Border","000 Head","875.8"
"Number of Livestock in June","2010","Total cattle","Midland","000 Head","768.1"
"Number of Livestock in June","2010","Total cattle","West","000 Head","908"
"Number of Livestock in June","2010","Total cattle","Dublin plus Mid East","000 Head","563"
"Number of Livestock in June","2010","Total cattle","Mid-West","000 Head","959.2"
"Number of Livestock in June","2010","Total cattle","South-East","000 Head","1217.9"
"Number of Livestock in June","2010","Total cattle","South-West","000 Head","1314.6"
"Number of Livestock in June","2010","Total sheep","Border","000 Head","1033.7"
"Number of Livestock in June","2010","Total sheep","Midland","000 Head","303.7"
"Number of Livestock in June","2010","Total sheep","West","000 Head","1262.9"
"Number of Livestock in June","2010","Total sheep","Dublin plus Mid East","000 Head","693.7"
"Number of Livestock in June","2010","Total sheep","Mid-West","000 Head","120.7"
"Number of Livestock in June","2010","Total sheep","South-East","000 Head","649.4"
"Number of Livestock in June","2010","Total sheep","South-West","000 Head","681.3"
"Number of Livestock in June","2010","Total pigs","Border","000 Head","413.8"
"Number of Livestock in June","2010","Total pigs","Midland","000 Head","271.7"
"Number of Livestock in June","2010","Total pigs","West","000 Head","48.5"
"Number of Livestock in June","2010","Total pigs","Dublin plus Mid East","000 Head","75.6"
"Number of Livestock in June","2010","Total pigs","Mid-West","000 Head","94"
"Number of Livestock in June","2010","Total pigs","South-East","000 Head","315.9"
"Number of Livestock in June","2010","Total pigs","South-West","000 Head","296.7"
"Number of Livestock in June","2010","Total horses and ponies","Border","000 Head","12.7"
"Number of Livestock in June","2010","Total horses and ponies","Midland","000 Head","9.2"
"Number of Livestock in June","2010","Total horses and ponies","West","000 Head","22.1"
"Number of Livestock in June","2010","Total horses and ponies","Dublin plus Mid East","000 Head","14.1"
"Number of Livestock in June","2010","Total horses and ponies","Mid-West","000 Head","13.5"
"Number of Livestock in June","2010","Total horses and ponies","South-East","000 Head","21"
"Number of Livestock in June","2010","Total horses and ponies","South-West","000 Head","13.6"
"Number of Livestock in June","2010","Total mules, jennets and asses","Border","000 Head","1.6"
"Number of Livestock in June","2010","Total mules, jennets and asses","Midland","000 Head","0.6"
"Number of Livestock in June","2010","Total mules, jennets and asses","West","000 Head","2.4"
"Number of Livestock in June","2010","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.6"
"Number of Livestock in June","2010","Total mules, jennets and asses","Mid-West","000 Head","1"
"Number of Livestock in June","2010","Total mules, jennets and asses","South-East","000 Head","0.5"
"Number of Livestock in June","2010","Total mules, jennets and asses","South-West","000 Head","0.8"
"Number of Livestock in June","2010","Total goats","Border","000 Head","2.4"
"Number of Livestock in June","2010","Total goats","Midland","000 Head","1.8"
"Number of Livestock in June","2010","Total goats","West","000 Head","1.7"
"Number of Livestock in June","2010","Total goats","Dublin plus Mid East","000 Head","1.3"
"Number of Livestock in June","2010","Total goats","Mid-West","000 Head","1.1"
"Number of Livestock in June","2010","Total goats","South-East","000 Head","0.8"
"Number of Livestock in June","2010","Total goats","South-West","000 Head","1.5"
"Number of Livestock in June","2011","Total cattle","Border","000 Head","856.1"
"Number of Livestock in June","2011","Total cattle","Midland","000 Head","747.7"
"Number of Livestock in June","2011","Total cattle","West","000 Head","885.7"
"Number of Livestock in June","2011","Total cattle","Dublin plus Mid East","000 Head","546.6"
"Number of Livestock in June","2011","Total cattle","Mid-West","000 Head","942.1"
"Number of Livestock in June","2011","Total cattle","South-East","000 Head","1207.3"
"Number of Livestock in June","2011","Total cattle","South-West","000 Head","1307.5"
"Number of Livestock in June","2011","Total sheep","Border","000 Head","1049"
"Number of Livestock in June","2011","Total sheep","Midland","000 Head","322.8"
"Number of Livestock in June","2011","Total sheep","West","000 Head","1278.7"
"Number of Livestock in June","2011","Total sheep","Dublin plus Mid East","000 Head","706.9"
"Number of Livestock in June","2011","Total sheep","Mid-West","000 Head","121.8"
"Number of Livestock in June","2011","Total sheep","South-East","000 Head","655.9"
"Number of Livestock in June","2011","Total sheep","South-West","000 Head","694.8"
"Number of Livestock in June","2011","Total pigs","Border","000 Head","431.3"
"Number of Livestock in June","2011","Total pigs","Midland","000 Head","268.2"
"Number of Livestock in June","2011","Total pigs","West","000 Head","46.5"
"Number of Livestock in June","2011","Total pigs","Dublin plus Mid East","000 Head","77.2"
"Number of Livestock in June","2011","Total pigs","Mid-West","000 Head","99"
"Number of Livestock in June","2011","Total pigs","South-East","000 Head","316.6"
"Number of Livestock in June","2011","Total pigs","South-West","000 Head","310.1"
"Number of Livestock in June","2011","Total horses and ponies","Border","000 Head","13.3"
"Number of Livestock in June","2011","Total horses and ponies","Midland","000 Head","10"
"Number of Livestock in June","2011","Total horses and ponies","West","000 Head","21.2"
"Number of Livestock in June","2011","Total horses and ponies","Dublin plus Mid East","000 Head","14"
"Number of Livestock in June","2011","Total horses and ponies","Mid-West","000 Head","14.1"
"Number of Livestock in June","2011","Total horses and ponies","South-East","000 Head","19.6"
"Number of Livestock in June","2011","Total horses and ponies","South-West","000 Head","13.7"
"Number of Livestock in June","2011","Total mules, jennets and asses","Border","000 Head","1.5"
"Number of Livestock in June","2011","Total mules, jennets and asses","Midland","000 Head","0.9"
"Number of Livestock in June","2011","Total mules, jennets and asses","West","000 Head","2.5"
"Number of Livestock in June","2011","Total mules, jennets and asses","Dublin plus Mid East","000 Head","0.7"
"Number of Livestock in June","2011","Total mules, jennets and asses","Mid-West","000 Head","1.3"
"Number of Livestock in June","2011","Total mules, jennets and asses","South-East","000 Head","0.6"
"Number of Livestock in June","2011","Total mules, jennets and asses","South-West","000 Head","1.2"
"Number of Livestock in June","2011","Total goats","Border","000 Head","2.5"
"Number of Livestock in June","2011","Total goats","Midland","000 Head","1.8"
